49,38
30,38
30,31
31,32
32,33
33,34
34,35
35,36
37,61
36,37
61,60
60,59
59,58
58,57
57,56
56,55
55,54
54,53
53,52
52,51
51,50
49,50
49,39
39,40
46,39
46,21
16,18
11,47
11,45
11,45
45,48
59,48
47,36
47,48
36,48
48,58
48,37
61,59
45,57
35,10
12,44
44,45
45,56
56,43
43,44
44,14
14,42
42,43
43,14
14,55
55,42
43,55
44,57
45,58
37,58
21,5
41,42
42,54
54,41
41,53
53,40
40,41
41,16
16,42
52,39
39,51
51,38
38,50
38,39
39,30
40,52
16,15
15,14
31,46
46,30
31,1
21,32
32,23
23,33
33,26
26,34
34,29
29,35
35,47
21,22
22,23
33,34
34,33
34,23
34,10
34,8
33,24
46,40
2,21
19,18
18,17
17,16
16,6
6,14
14,13
13,12
12,10
10,11
29,11
10,29
29,28
28,27
27,26
26,25
25,24
24,23
29,9
9,13
13,10
10,9
10,28
10,8
10,14
10,27
10,7
10,15
10,26
10,25
10,6
10,16
11,12
11,9
11,13
11,28
11,8
11,14
11,27
11,26
11,7
10,15
11,15
11,6
11,25
11,16
12,9
12,29
12,8
12,14
12,28
12,27
12,7
12,15
12,26
12,6
13,8
13,29
13,28
13,15
13,7
13,27
13,26
13,6
13,16
13,5
9,28
9,8
9,14
9,7
9,27
9,15
9,26
9,6
9,16
8,29
8,28
8,14
8,7
8,27
8,15
8,26
8,16
8,6
8,25
8,5
8,24
8,4
28,14
28,15
28,7
28,26
28,6
28,16
28,5
28,25
14,7
14,27
14,26
14,5
14,25
27,7
27,6
27,25
27,16
27,15
7,15
7,26
7,25
7,6
7,16
7,5
7,24
7,4
6,15
6,26
6,25
6,5
6,4
6,24
26,15
25,15
25,9
25,5
25,4
25,3
25,17
25,16
5,26
5,27
5,15
5,16
5,4
5,24
5,17
5,3
5,23
5,2
5,18
5,22
24,4
24,3
24,17
24,16
24,26
24,15
24,2
24,18
23,4
23,3
23,17
23,2
23,18
23,16
23,25
23,6
23,15
23,7
23,26
23,8
23,1
23,19
3,2
3,17
3,4
3,18
3,1
3,22
3,26
3,16
3,6
3,7
3,15
3,27
22,24
22,2
22,1
21,23
21,3
22,19
22,18
22,17
22,4
21,18
22,16
22,6
22,25
22,26
22,7
22,15
22,14
1,2
1,24
1,18
1,17
1,19
21,4
21,24
1,21
16,2
1,4
1,25
1,5
1,6
1,16
1,26
19,2
21,17
19,21
21,16
2,17
19,3
19,17
19,4
19,24
19,16
19,5
19,25
19,6
19,15
21,25
2,25
17,4
4,18
4,16
19,40
2,18
2,4
46,19
41,19
19,42
